輸入原始資料檔案: iris.arff
所有資料筆分別與原點之間的距離如下:
第1筆資料 距離平方為40.26
第2筆資料 距離平方為35.01
第3筆資料 距離平方為34.06
第4筆資料 距離平方為33.06
第5筆資料 距離平方為39.96
第6筆資料 距離平方為47.42
第7筆資料 距離平方為34.77
第8筆資料 距離平方為38.85
第9筆資料 距離平方為29.77
第10筆資料 距離平方為35.88
第11筆資料 距離平方為45.14
第12筆資料 距離平方為37.2
第13筆資料 距離平方為34.01
第14筆資料 距離平方為28.71
第15筆資料 距離平方為51.12
第16筆資料 距離平方為54.26
第17筆資料 距離平方為46.22
第18筆資料 距離平方為40.31
第19筆資料 距離平方為49.91
第20筆資料 距離平方為42.79
第21筆資料 距離平方為43.65
第22筆資料 距離平方為42.11
第23筆資料 距離平方為35.16
第24筆資料 距離平方為40.04
第25筆資料 距離平方為38.25
第26筆資料 距離平方為36.6
第27筆資料 距離平方為39.28
第28筆資料 距離平方為41.58
第29筆資料 距離平方為40.6
第30筆資料 距離平方為34.93
第31筆資料 距離平方為35.25
第32筆資料 距離平方為43.13
第33筆資料 距離平方為46.11
第34筆資料 距離平方為49.89
第35筆資料 距離平方為35.88
第36筆資料 距離平方為36.72
第37筆資料 距離平方為44.23
第38筆資料 距離平方為35.88
第39筆資料 距離平方為30.09
第40筆資料 距離平方為39.86
第41筆資料 距離平方為39.03
第42筆資料 距離平方為27.32
第43筆資料 距離平方為31.33
第44筆資料 距離平方為40.17
第45筆資料 距離平方為44.22
第46筆資料 距離平方為34.09
第47筆資料 距離平方為43.05
第48筆資料 距離平方為33.4
第49筆資料 距離平方為44.07
第50筆資料 距離平方為37.89
第51筆資料 距離平方為83.29
第52筆資料 距離平方為73.7
第53筆資料 距離平方為83.48
第54筆資料 距離平方為53.23
第55筆資料 距離平方為73.5
第56筆資料 距離平方為62.27
第57筆資料 距離平方為75.23
第58筆資料 距離平方為41.66
第59筆資料 距離平方為74.82
第60筆資料 距離平方為51.5
第61筆資料 距離平方為42.25
第62筆資料 距離平方為63.7
第63筆資料 距離平方為57.84
第64筆資料 距離平方為69.67
第65筆資料 距離平方為54.42
